name,slottime_GMT,slottype,slotavg,pointTitle
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-05-01 00:00:00,D,7170.324687500,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-05-01 00:00:00,D,7636.349791666,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-05-02 00:00:00,D,1.458462500,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-05-02 00:00:00,D,46.331578947,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-05-02 00:00:00,D,78.948387096,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-05-02 00:00:00,D,18186.349072916,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-05-02 00:00:00,D,6083.526875000,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-05-02 00:00:00,D,5070.021354166,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-05-03 00:00:00,D,7.894960104,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-05-03 00:00:00,D,44.640000000,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-05-03 00:00:00,D,79.570967741,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-05-03 00:00:00,D,21336.053526315,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-05-03 00:00:00,D,6517.979263157,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-05-03 00:00:00,D,5173.377500000,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-05-04 00:00:00,D,5.466315416,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-05-04 00:00:00,D,45.229032258,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-05-04 00:00:00,D,81.909375000,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-05-04 00:00:00,D,22141.710520833,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-05-04 00:00:00,D,7378.358645833,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-05-04 00:00:00,D,5287.865312500,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-05-05 00:00:00,D,2.008599583,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-05-05 00:00:00,D,46.670526315,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-05-05 00:00:00,D,81.951578947,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-05-05 00:00:00,D,25469.139166666,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-05-05 00:00:00,D,5034.443854166,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-05-05 00:00:00,D,6578.804791666,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-05-06 00:00:00,D,3.060125416,Chilled Water
AliceCookHouse.Dining.Elec.PowerScout18/kWsystem,2022-05-06 00:00:00,D,46.569791666,Electric for Dining
AliceCookHouse.Elec.PowerScout18/kWsystem,2022-05-06 00:00:00,D,81.264210526,Cook House
AliceCookHouse.G0061.FleximF721/DHW.Dining.kBTUperHour,2022-05-06 00:00:00,D,19096.437812500,Domestic Hot Water for Dining
AliceCookHouse.G0061.FleximF721/DHW.House.kBTUperHour,2022-05-06 00:00:00,D,8190.217500000,Domestic Hot Water for Alice Cook House
AliceCookHouse.HW.FP/TONS,2022-05-06 00:00:00,D,6203.956875000,Main Htg Hot Water
AliceCookHouse.CW.FP/TONS,2022-05-07 00:00:00,D,3.760462916,Chilled Water
